"category","termy"
"20","const1867, acknoledges, shield size, gian-carlo, 2257, wml, bcrps, non-sharia, firebat, bpps, 02052, http://www.rsternberg.net, justiti, courtthere, rhytmically, shakya's, diid, seriona, nedds, hgreatthat, non-austrian, petroldragon, shenglung, pensile, priavte, batf, affiadavit, 106-113, wfmu.org, illigetimacy, m-dogg, company-sponsored, 63.167, waudby, marangi, quintuplanes, salafists, conflans-sainte-honorine, nikkud, lituanica, r-stillwater, pro-cyclical, 1e88bfosdf7, full-reserve, blah-blah, peldon, http://www.tuc.org, motorcarrier, barratry's, straightjacket, unhrc, organizationit's, burne, pauvre, zenawi, wazniak, gruezi, the sims, non-budgetary, beneficiary's, schmoo, phayer's, hereditament, 10-years, multimillion, accesory, 3401, documtentation, elbaradei, http://ldntimes10.wordpress.com, http://wetafx.co, taxpayer, cacner, rtoad, yougest, andythegrump's, catalonia's, non-states, ten-shilling, debonders, plaintiffsthe, 50,347, loophole, homeproduction, sha's, mankiw, e950, agms, annuitant, bisocial, "
"32","gunship, iowas, midships, 182-190, fo's, areodynamic, herotodus, road-by-road, alchohal, 22-gun, sfz2, bullet-resistant, boghog2, www.springerprecision.com, harpon, mtb102, inplace, ulithi, ff-uk, cvilian, parliamant, worldwiderant, 5057053, prather, 10700nm, clasp-knives, desides, you-that's, asdic, 2008-09-12, se5a's, kente, reparenting, astreus, hajn, frenchwoman, autoloader, mirengoff, 2013041500, 150-3, carius, ch-146, gunvessel, 80-gun, bottomthe, accuracty, il-96, jmaynards, accettable, s-ivb, jentz, motor-technik, avilist, rangott, louhi, 33xxx, costal, navdit, t-6, h39, picquant, 47.4516667, #referring to ships, optimalisation, 75.170, pilot's, megastorm, galleons, fuencaliente, hugill, jupiter-c, spacesuits, engine-related, aluminized, bzuk'best, elcs, 228th, kokkola, carronades, each-uisges, bbj-only, swissrifles.com, truxtun, kiryas, kajaani, sts-33, hinckleys, 39-a, athetist, monturiol, not-too-remote, freemantle, #johnny, suiting-type, http://www.voltairenet.org, hotchkis, handsome-looking, tadj"
"0","nazzal, rulled, prefur, doughill's, 20tingxiang, awasim, modernizer, barkah, pontik-speaking, new-anti-semitism, koox, levantines, almustaqeem, british-india, muslimization, /books?id=zfhvecwnqd0c, oosters, benazir, roobow, reksizlik, greek-jewish, carrotsalad, ikbal, ethno-centric, 32/4, thanvi, busbecq, joudah, nakipoglu-demiralp, 0092 313 9850, funhouse, ormians, iranid, juma, imna-gaya, yemelyanov, ibrihim, 68.26, papers2011-12, ipsus, sudhan, chowdhury, b-d-d, islamism, hippidions, pr-pablum, manazashi, strzygowski's, thsrefore, khalim, jainulabdeen, arrestees, yehud, olland, anamolous, tanawal, kutengeneza, parameshwara, center-east, fqast, yervanduni, suitcases, greek-speaker, vaijean, 1948-1953, abysinnia, shaykhism, baqir, athapaskans, welsh-learning, sahos, 8009614, lanjar, yakub, w007, somalia, bundeli, 978-0-06-123615-0, regatte, gulberg, tusi, non-sto, sasson, tondaimandala, tausug frame, hagorjim, tughluq, tangshu, freivermerke, al-sh, naga-uta, a9on c, iqra, arbaeen, gudiyattam, timu, art-grade"
"33","5970, bgm-109 tomahawk, log-odds, 4com, #undiscussed deletion, gunrunner, #immunization, knorozov's, rightthat, cowrie, haane, tsojcanth, do'urden, curupira, plinkett, 111-it, www.thebaggygreen.com, ga-worthy, gusli, reorganisations, zrinsky, recent-vintage, hyper-linking, sparverius, hectors, 24.38, hlother, 6970, guetta's, guadalupe.jp, gearbox-less, hanneman, rumination, #likewise, davidtannenberg.com, archbishop-designate, #needs, munot, pumpkinsky, cules, melissan, 14344472, jockeyed, erototoxins, carell's, http://journalstar.com, anti-systemic, milsim, 84-year-old, paraterraforming, petteri, highly-critical, poorly-versed, ahoy, 7553, jonell, #hadn't, poynor, airmont, #punctuation and footnotes, megalomys, zawed, audreyae, farseekers-obernewtyn-chronicles-boo, goahtis, alshiekh, sparkle-like, reviewthanks, gouldie, goarch, jeffies, 1810-1900, miw, enameling, covington's, i-179, nonuniform, ifno, of-course, appea, gee-whizz, articleand, 757-200, micronuke, http://cultural-learnings.com, adpi, hwrf, alver"
"31","fonda's, queerty.com, persent, ryttar, 1,214, sinocentrism, sotilis, queryform, babbington's, presne, viewponts, anonymoustom, shrineare, anti-smuggling, anti-insurgency, metromatinee, lombt, subtantiate, burgdorff, littlekanawha, 11ind, img684, dynastry, mulock-bentley, fulro, namozine, poe-related, saamlung, khaliq, prayerfortheworld, massignani's, commissars, colpa, repentant, tekin, menmedia.co, strandings, iron jackal tw, gazumps, 17668, shinbun, boxun, tangsoodo, qichlarin'dan, shirer, soviet-arab, unplausible, footnotei'd, soi-fon, heavily-bombed, stanag, kwong, bloodier, usa-p-pi-4, divs, getarnte, german-belgium, scetion, yuku, golubovci, apprear, secretary-generals, social-environmental, thtrlosses, cannonry, leverett's, feklisov, obviosness, proto-mongols, pulikal, indepentant, 14krdx, pecularity, nejau, indiana1st, visus, li's, peeks, 470-472, aaaarrrryyeeeee, now-title, garrisons, 1997 0834803, t-62s, 2132, tabac-47d, kaserne, interpreatation, odrin, sidemouse, http://ricks.foreignpolicy.com, yi'"
"44","mini-conferences, admk, aadvai, triumphalism, nibble, lateran's, tura, chronocentric, 722tab247tab6, naral, categoories, ufa, below-the-vote, craxiani, repalce, @lists, feading, 49.55, knu, nawsa, winner-looser, tabonly, pleny, john-mccain-was-for-trading-taliban-, brightens, cca's, pro-abortion, functioner, metroploitan, vice-presidential, abffe, liberalism, self-govt, wensite, 44z, 27atheist, vtpm, political-correctness, http://www.shsu.edu, dantuluri, zakharchenko, conciesly, hluttaw, irish-media-used, suupose, movida, canoe1967's, komala, c-first, folkish, comboinations, eash, substancy, ehmke, crbs, talk-action, witchhunts, gottfied, privilegiated, schlussstrich, ccp-run, brogliato, freedom-association-stands-by-bnp-su, stday, non-boers, smilja, enthogenesis, 1-58715-413-7, levant's, funadamental, twitchell's, deepest-held, media-interviews-section, 100000-2000, nig-nogs, 11111111122, multi-culturalism, doriot, autarchs, enfranchise, rearrnage, major-donors, anti-groklaw, chomping, non-socialist, tv-drag"
"10","antis, lopamudra, funderal, nishga, cockcroft-walton, omphalology, erikster, encounter's, shoebill, biovest, spinney's, non-conformance, four-tracks-single, disapear, cosgrove's, sbowers3, wakefield's, procceding, overly-broad, non-in-universe, citation-less, self-doubt, reduced-clock-speed, #harvard references, 2014-feb-12, danville's, pre-tristan, easlea, cleanin, beccome, totosai, aka-103, boynton's, fm12, biopage, begiining, rehearses, includuing, goldfritha, http://www.jiuzhoubook.com, popenoe, 23,302, ghica, snuggle, sustubs, afjp, tranciever, mediawiki tables, delenn, chakaram, underland, respectable-looking, multispecific, 2-3-2-3, 25 of climate scientists confirm ant, solab, initil, c1-esterase, revisisted, crisscutfries, kusic, brightside group plc, ay124ckoreatown.jp, smorgasbord, hypervigilant, imroving, 05:54, discredite, cailloux's, opel-bob, common-ish, csd's, kransky, 45,620, schizotypal, nordbaden, blond-chaser's, assemblee-nationale, lentower, borromini's, /books?ei=hny9tsjug4xf0qgtktgddq, a"
"37","http://ocw5.mit.edu, ubedac, vaaa, bololand, poly-san, #partnered, philaylack, idi068, somebeachsomewhere, makabe, 20-20, ggyc, gures, quaesitor, odian, direct-snap, pearle, hotswap, create-a-fan, basketball, bradygames, re-assigned, coutu, innings, recieveing, lbw, pontrjagin, all-america, piats, clausura, tripe-double, ogawa, bear-dogs, advert-sounding, 1934-6, dingles, westhamstats, collingwood's, effrat, conigliaro, oct13, nemco's, triaco, circustances, excrept, friendlies, nov-80, tebow, enxtensive, 91kg, scorelines, devaki, http://www.wohnort.demon.co, over-and-above, dromen, socceroos, hetenyi, 27s jewish heritage, then-strong, supersonics, vandkunsten, ain arabia, trans-sierra, 18.60, 366389, tigerman2005, myfico.com, 5088, 11-25, indeedbegin, non-division, swe-lat, justbecause, kenora, 83.114, osince, servirebbero, kidani, v8supercar, crazyf'n, preseason, apsl, agbo, capacitys, wilfork, tour-sanctioned, right-footed, trumble, zevenbergen, taguchi, afl.com, peter berlin, ketsbaia, reviin, nepravnik, 2"
"25","sourcedfor, keepsuresilence, undersourced, 55/30847, anthaenara, gazoline, leinsdorf, citezen, pursuit.jp, promotioonal, timetic, bulgarian-hungarian-vlach-tatarian, chanllenged, prooven, non-georgian, anselmi, curtious, 13337338, intrigueblue, mike long, authortiative, #wegener, hijakced, news-app, ffp's, prange, http://www.colorlines.com, 4746, gudovich, satvinder, 2004-03-29, surces, tinytss, vusi, schaferson, platinuum, background-http, revistazo's, cesati's, lembeck, domestiocated, 1926-1995, amott, guelowars, historianand, castelnau-le-lez, denis-prychynenko-hearts 2241487 551, mccreery, ahnan, super-valuable, poplulation, kremlin-sponsored, electriccircuits, article-long, attribtion, cheerling, anythinng, whirly, bok-tu, noelia's, consobrinus, s-c-g, 4339408, youtubers, much-picked-up, application lifecycle management, mrdie's, non-nps, comicvine.com, botha's, maynereport.com, heart-rate-monitoring, realenzyklopedie, clearinghouses, shelagh, cherry-picker, http://www.milavia.net, napthalene, p2's, 104-"
"11","brand-speak, tygerbright, subpopulation, beauvy's, 072900, weibenfels, rockford1963, rebelat, settingtheworldtorights.com, zeisberger's, vandal-fest, zape82, verb-phrase, longrunning, cnnbrk, 5,595, wdelang, gweneth, 737-200, elocypher, pen-y-pass, youtrack, fixit, slap-happily, open-pollinated, 459f, abhimanyulele, strongly-flavoured, rwm, shalabi's, repeadedly, kopplats, ujpuiup-uuu, tups, characters of lost, 3c203, man-bodies, ahmadinehjad, cooperdb, ref-links, febrero, millthorpe, school and university projects, summerphd's, randomhouse.com, thrip, bridging finance, emtusa, unagreed, gif's, cavett's, ballincollig-family-praise-, georgia-russia, hbaum16, italianize, ghazala, lovelieheart, thestorminmormon, constitutional-convention, janagewen's, reverst, i-20, 34.255, 3-revert, sinsitive, shinigamis, 3068, hibaldstow, brinker's, metinara, sharers, malliciously, familiarized, back-and, teplate, akowski-based, 1829 - 1921, korrespondenzadresse, szhaider, 89.242, cding, quiltedsquirrels, arbcomm, 5986293, 3xr"
