"category","termy"
"5","company, system, software, code, computer, systems, data, product, business, companies, products, market, windows, technology, program, memory, digital, network, open, services, machine, internet, industry, microsoft, file, key, service, marketing, programming, design, development, users, commercial, os, access, hardware, model, computers, operating, application, server, control, features, management, patent, run, mobile, price, device, linux, apple, address, pc, mac, devices, cost, security, programs, phone, technical, ibm, applications, share, files, card, virtual, implementation, corporation, computing, versions, machines, tools, java, performance, developed, sold, test, interface, mode, database, networks, audio, comparison, browser, bits, protocol, sales, running, stock, electronic, advertising, feature, brand, architecture, platform, client, designed, patents, customers, exchange, core, disk, sell, company's, technologies, storage, block, store, cards, projects, customer, corporate, processing, requirem"
"43","news, evidence, report, death, police, incident, story, crime, media, event, claims, killed, reported, controversy, murder, events, reports, happened, facts, attack, alleged, involved, trial, allegations, criminal, terrorist, attacks, conspiracy, press, false, investigation, crimes, claimed, violence, holocaust, massacre, killing, terrorism, victims, cases, court, scandal, abuse, guilty, actions, daily, suicide, truth, newspaper, committed, accused, account, prison, bbc, mr, rape, charges, victim, incidents, deaths, reporting, convicted, proof, propaganda, genocide, accusations, secret, arrested, illegal, arrest, occurred, mass, kill, cia, told, documented, caused, fraud, accounts, proven, acts, documents, security, charge, allegation, testimony, assassination, involvement, allegedly, violent, believed, torture, interview, stories, hoax, responsible, intelligence, mail, sexual, denied, conviction, charged, shot, strike, denial, journalist, threat, defense, shooting, accusation, witness, murders, affair, 9/11,"
"6","john, born, family, david, mr, james, george, birth, michael, robert, father, smith, paul, william, life, thomas, richard, named, death, peter, biography, jack, married, died, brown, dr, jones, mother, man, martin, mark, son, charles, bill, lee, wife, jim, scott, york, williams, henry, johnson, ben, he's, frank, jr, sir, jackson, tom, career, mary, brother, lewis, andrew, joseph, famous, wilson, taylor, bob, joe, kennedy, mike, brian, moore, young, howard, st, daughter, chris, steve, davis, bio, relationship, alan, lives, clark, tim, stephen, met, daniel, tony, mrs, miller, edward, arthur, eric, guy, anthony, harry, ross, washington, interview, russell, adams, francis, jane, roger, sarah, patrick, ian, billy, brothers, gordon, friend, ryan, thompson, surname, writer, parents, dan, simon, carter, stewart, marriage, douglas, bruce, christopher, nelson, anderson, harris, walker, gary, fred, walter, campbell, jason, ray, rose, ron, charlie, actor, allen, kevin, lincoln, kelly, politician, 1964, lived, evans, dire"
"20","law, state, states, government, legal, court, united, act, president, office, rights, federal, public, tax, laws, international, minister, money, constitution, bank, authority, bill, property, council, status, house, congress, decision, private, parliament, prime, commission, cases, financial, power, pay, supreme, justice, civil, members, income, department, legislation, service, agreement, senate, committee, rules, agency, illegal, rule, amendment, chief, head, insurance, contract, treaty, security, protection, foreign, courts, member, legally, capital, constitutional, required, held, executive, control, board, signed, paid, passed, governor, allowed, administration, currency, appointed, powers, services, apply, secretary, marriage, elected, issued, taxes, ministry, ownership, recognized, jurisdiction, documents, australian, budget, credit, purposes, acts, judge, convention, agencies, assembly, approved, affairs, regulations, document, ministers, judicial, exchange, governments, trade, decisions, acting, rul"
"16","game, character, series, characters, games, story, video, japanese, fictional, star, plot, comics, anime, comic, fiction, manga, fantasy, magic, universe, release, stories, play, japan, super, released, fan, gameplay, final, novels, dragon, movie, wars, versions, spoiler, fans, nintendo, gaming, marvel, legend, appearance, canon, batman, appeared, dark, harry, evil, franchise, setting, player, trek, playing, sword, alternate, genre, superman, alien, heroes, reception, mario, elements, master, dc, powers, hero, speculation, adventure, shadow, sonic, arcade, planet, game's, mon, monster, card, pc, storyline, potter, tales, tolkien, continuity, sequel, mega, trilogy, secret, sega, ending, robot, dragons, cards, console, vampire, worlds, spoilers, moon, wii, ultimate, arc, ghost, d;, theme, strip, creators, rpg, character's, magical, robin, knight, similarities, boy, x-men, monsters, fandom, movies, doom, protagonist, pok, sailor, fairy, rangers, demon, folklore, pokemon, xbox, quest, generation, myth, jump, insp"
"32","aircraft, ship, air, ships, flight, gun, navy, airport, fire, class, service, weapons, space, type, mission, flying, design, guns, naval, weapon, built, fleet, force, tank, aviation, wing, crew, boat, nuclear, military, launch, plane, pilot, control, airlines, fly, sea, landing, crash, accident, tanks, carrier, flights, port, ground, designed, fighter, rifle, range, airline, transport, uss, nasa, missile, rocket, vessel, carry, test, combat, safety, jet, pilots, operation, training, planes, hms, radar, base, vessels, captain, hull, shot, construction, designation, boats, raf, heavy, submarine, helicopter, vehicle, carried, squadron, bomb, speed, deck, operations, launched, bullet, wings, operated, machine, mm, apollo, passengers, accidents, bow, cargo, boeing, round, missions, fired, flew, equipment, missiles, tons, pistol, damage, spacecraft, operational, armour, destinations, hit, airports, diving, craft, satellite, fuel, command, target, variants, ammunition, operating, bomber, passenger, disaster, carrier"
"30","number, set, definition, function, space, numbers, theory, mathematical, proof, theorem, formula, defined, logic, notation, method, mathematics, points, vector, functions, complex, equation, field, model, math, simple, values, structure, probability, algorithm, linear, error, equal, sets, sequence, elements, matrix, square, solution, algebra, graph, quantum, random, equations, element, special, define, measure, distribution, product, analysis, infinite, normal, finite, physics, circle, equivalent, sum, length, prime, geometry, natural, ring, object, spaces, variable, plane, methods, relation, continuous, properties, string, curve, mechanics, positive, symbol, objects, variables, constant, principle, relativity, formal, limit, expression, derivative, );, property, angle, integral, definitions, operator, direction, symbols, formulas, step, empty, metric, fields, interval, arithmetic, symmetry, condition, regular, diagram, dimensions, calculus, physical, arbitrary, coordinates, einstein, triangle, abstract, topo"
"19","species, horse, animals, animal, dog, india, breed, genus, fish, family, tree, horses, sri, tamil, dogs, plant, wild, classification, birds, bird, plants, cat, humans, ja, taxonomy, indian, singh, breeds, scientific, subspecies, cave, cats, lanka, lion, sheep, conservation, extinct, genera, breeding, evolution, fossil, hunting, wolf, trees, taxonomic, forest, sea, synonym, shark, taxobox, tail, ecology, guru, wolves, lions, mammals, distribution, whale, zoo, tiger, bear, fishing, giant, families, homo, habitat, deer, wildlife, flora, duck, spider, fox, tai, extinction, skull, taxon, pt, mm, elephant, marine, bat, endangered, dinosaurs, bears, nomenclature, fossils, rabbit, legs, teeth, frog, specimen, whales, pradesh, hunt, turtle, fur, behavior, monkey, mammal, flowers, nadu, spiders, dinosaur, fauna, lankan, taxa, cattle, biology, pony, pig, eat, kannada, creature, caste, domestic, flower, feral, creatures, shri, populations, karnataka, goat, genetic, stem, sikh, kerala, eagle, prey, iucn, classified, hindu"
"36","station, river, road, line, park, area, north, city, south, route, state, west, street, bridge, island, lake, county, railway, east, map, storm, york, location, tropical, highway, san, stations, national, hurricane, mountain, california, bay, miles, hill, maps, coast, pacific, valley, located, st, rail, land, built, km, town, central, southern, metro, service, roads, washington, historic, texas, lines, creek, beach, cyclone, fort, london, routes, florida, michigan, bus, building, avenue, railroad, center, trains, western, northern, oregon, sea, los, jersey, train, mount, traffic, mountains, parks, areas, angeles, atlantic, francisco, virginia, transit, ny, rivers, exit, opened, construction, junction, branch, carolina, bridges, chicago, cross, border, canal, tunnel, pennsylvania, damage, neighborhood, eastern, downtown, hills, peak, forest, columbia, locations, signs, trail, ocean, grand, nrhp, closed, depression, interstate, mile, crossing, buildings, earthquake, winds, storms, subway, highways, vancouver, s"
"31","war, army, battle, military, china, chinese, forces, british, force, japanese, civil, korean, soldiers, troops, unit, german, japan, ii, units, service, campaign, operation, division, rank, korea, command, hong, victory, kong, taiwan, invasion, camp, corps, wars, fighting, attack, vietnam, killed, commander, soviet, armed, men, regiment, conflict, officer, officers, fought, battles, peace, republic, operations, guard, infantry, air, lost, camps, 1945, casualties, 1st, combat, battalion, action, germany, enemy, allies, germans, brigade, front, control, wwii, occupation, ranks, bombing, served, iraq, fight, france, navy, allied, siege, soldier, 1944, 2nd, strategic, vietnamese, people's, led, defeat, armies, cavalry, resistance, captured, civilian, cross, nazi, chief, roc, began, defense, offensive, historians, han, foreign, artillery, independence, 1941, actions, americans, orders, warfare, forced, 1939, imperial, capture, prc, formed, attacked, rebellion, defence, medal, 1918, divisions, 1940, ended, colonel,"
"35","theory, evidence, science, scientific, argument, view, claim, concept, knowledge, social, theories, nature, philosophy, human, historical, analysis, ideas, modern, study, culture, arguments, evolution, debate, existence, cultural, accepted, field, mainstream, understanding, views, scientists, position, interpretation, basis, approach, natural, influence, lack, academic, reality, conclusion, truth, argue, literature, scholars, false, belief, perspective, hypothesis, basic, strong, differences, presented, highly, widely, critical, physical, fringe, society, traditional, notion, logical, relationship, historians, accept, experience, studies, prove, concepts, authors, impossible, philosophical, focus, logic, global, contrary, complex, scholarly, principle, principles, ways, myth, necessarily, method, phenomenon, argued, respect, individuals, authority, impact, strongly, methods, developed, fundamental, influenced, contemporary, assertion, conclusions, intelligent, perception, distinction, experts, regard, degree,"
"46","term, word, sentence, definition, terms, meaning, sense, phrase, common, clear, refer, context, usage, words, means, correct, makes, understand, specific, refers, describe, wording, reader, confusing, dictionary, referring, meant, terminology, definitions, explain, referred, distinction, concept, confusion, readers, generally, defined, misleading, difference, clarify, intended, incorrect, examples, commonly, technical, proper, specifically, confused, avoid, implies, ambiguous, define, opening, talking, changing, noun, meanings, explained, unclear, applied, familiar, vague, describing, clearer, clarification, imply, slang, understanding, object, understood, widely, necessarily, suggests, apply, prefer, calling, generic, explicitly, adjective, impression, jargon, expression, slightly, describes, precise, intro, ambiguity, technically, coined, formal, explaining, distinguish, phrasing, lede, verb, defines, tense, descriptive, wiktionary, clarity, pejorative, quotation, defining, perfectly, phrases, applies, conc"
"7","added, comment, preceding, unsigned, undated, smoke, weedi, weed, unsignedip, autosigned, briana, derp, simba, rafe, aest, paliath, siaosi, template:undated>, maaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaar, beest, foodmaster, achans, iwill, vinick, taft's, wheather, fortnightly, full-sized, afci, marla, deliniation, comps, caffee, valdalism, itw, danly, utc-7, sulh, raines, m44, ocasional, gryffindor's, hugenot, kafziel, formalistic, aedt, pylambert, imgs, talkback, bfg, varun, nurxture, re-removed, yp, 5312, appletree, brayons, utc-8, wondeful, goe, gogarty, surtsicna, mini-biography, nutral, corot-2b, mosholu, 20x110mm, specialy, i-beam, rnquist, pageants, granddaddy, a320s, 26-28, 80.249, logvinenkase, greening, lubricator, fountainhead, avier, lly, senstive, munadjaat, goro, tertullians, vestly, corpx, jyppyjpjytjypypyjp, jisho, cruella's, wtls, bignose, screwdriving, neaten, yaeger, knork, slidelock, sleepover, ypytytkjypjykykpyjkpypjypkojtpjyjpjj, cypherparty, ankylosing, jymymkyyjkymjymkyyjkyjjyyjjjymjyjymy, div"
"47","information, site, wikipedia, website, copyright, text, official, web, material, copy, content, original, copied, sites, public, free, domain, violation, post, copyrighted, internet, permission, email, posted, license, copyvio, author, online, updated, websites, directly, contact, forum, paste, rewritten, blog, message, update, facebook, release, address, access, copying, posting, direct, document, infringement, violations, verbatim, properly, error, pasted, fan, restored, owner, reply, verify, plagiarism, commercial, contributors, allowed, gfdl, e-mail, materials, attribution, posts, nehru, lifted, webpage, additions, contributions, twitter, accept, closely, url, confirm, holder, verified, foundation, promotional, documentation, send, phrases, copies, bio, enjoy, creative, registered, blocked, quotations, forums, wikisource, trademark, marks, advertising, contained, comply, mirror, quotation, submitted, myspace, copyrights, publish, licensed, credit, updates, paraphrased, portions, borrowed, releases, paraph"
"34","article, articles, merge, separate, merged, content, redirect, main, split, merger, merging, pages, proposal, created, topic, propose, stub, suggest, proposed, create, related, short, cover, individual, expanded, redirected, expand, covered, seperate, splitting, topics, thoughts, redirects, suggested, oppose, suggestion, existing, creating, overlap, scope, size, covers, discussed, easily, rename, warrant, expansion, duplicate, stubs, objections, distinct, focus, fork, keeping, detailed, proposing, contents, redundant, remain, deserves, redirecting, renamed, stand, justify, creation, larger, parent, covering, combined, deserve, solution, duplication, essentially, merit, overview, identical, objection, suggesting, expanding, subjects, recommend, option, broader, duplicated, grow, renaming, standalone, redirection, subsection, separated, histories, incorporated, concepts, target, discusses, respective, deals, separately, duplicates, stand-alone, proposals, roposed, kb, dedicated, pose, incorporate, merges, dealt"
